VARIABLE,DESCRIPTION,TYPE,UNITS,MINIMUM,MAXIMUM,CODED_VALUES,COMMENT
ST,Specimen Type,"Integer, encoded value ",,,,D31=G_DNA_R_Retroauricular crease,
ST,Specimen Type,"Integer, encoded value ",,,,D30=G_DNA_Skin tissue combined (STC),
ST,Specimen Type,"Integer, encoded value ",,,,D42=G_DNA_Mid vagina,
ST,Specimen Type,"Integer, encoded value ",,,,D41=G_DNA_Posterior fornix,
ST,Specimen Type,"Integer, encoded value ",,,,D43=G_DNA_Vaginal introitus,
ST,Specimen Type,"Integer, encoded value ",,,,D40=G_DNA_Vaginal tissue combined (VTC),
ST,Specimen Type,"Integer, encoded value ",,,,D34=G_DNA_L_Antecubital fossa,
ST,Specimen Type,"Integer, encoded value ",,,,V16=zg_VIR_NA_Stool,
ST,Specimen Type,"Integer, encoded value ",,,,V14=z05_VIR_NA_Saliva,
ST,Specimen Type,"Integer, encoded value ",,,,V40=zvc_VIR_NA_Vaginal tissue combined (VTC),
ST,Specimen Type,"Integer, encoded value ",,,,R16=zg_RNA_Stool,
ST,Specimen Type,"Integer, encoded value ",,,,WBL=Blood whole,
ST,Specimen Type,"Integer, encoded value ",,,,002=Blood serum,
ST,Specimen Type,"Integer, encoded value ",,,,016=primary_g_Stool,
ST,Specimen Type,"Integer, encoded value ",,,,023=primary_o_Buccal mucosa (BUCC),
ST,Specimen Type,"Integer, encoded value ",,,,022=primary_o_Hard palate (HPAL),
ST,Specimen Type,"Integer, encoded value ",,,,024=primary_o_Attached/Keratinized gingiva (GING),
ST,Specimen Type,"Integer, encoded value ",,,,025=primary_o_Palatine Tonsils(PTON),
ST,Specimen Type,"Integer, encoded value ",,,,014=primary_o_Saliva (SAL),
ST,Specimen Type,"Integer, encoded value ",,,,029=primary_o_Subgingival plaque(SUB),
ST,Specimen Type,"Integer, encoded value ",,,,028=primary_o_Supragingival plaque (SUPRA),
ST,Specimen Type,"Integer, encoded value ",,,,026=primary_o_Throat(THRO),
ST,Specimen Type,"Integer, encoded value ",,,,021=primary_o_Tongue dorsum (TONG),
ST,Specimen Type,"Integer, encoded value ",,,,027=primary_o1_Oral combined hard tissue (OCHT),
ST,Specimen Type,"Integer, encoded value ",,,,020=primary_o2_Oral combined soft tissue (OCST),
ST,Specimen Type,"Integer, encoded value ",,,,035=primary_s_Anterior nares (NASAL),
ST,Specimen Type,"Integer, encoded value ",,,,034=primary_s_L_Antecubital fossa (ACF_L),
ST,Specimen Type,"Integer, encoded value ",,,,032=primary_s_L_Retroauricular crease (RAC_L),
ST,Specimen Type,"Integer, encoded value ",,,,033=primary_s_R_Antecubital fossa (ACF_R),
ST,Specimen Type,"Integer, encoded value ",,,,031=primary_s_R_Retroauricular crease (RAC_R),
ST,Specimen Type,"Integer, encoded value ",,,,030=primary_s1_ Skin combined tissue (STC),
ST,Specimen Type,"Integer, encoded value ",,,,042=primary_v_Mid vagina (MIDVAG),
ST,Specimen Type,"Integer, encoded value ",,,,041=primary_v_Posterior fornix (PFORN),
ST,Specimen Type,"Integer, encoded value ",,,,043=primary_v_Vaginal introitus (INTRO),
ST,Specimen Type,"Integer, encoded value ",,,,040=primary_v1_Vaginal combined tissue (VCT) ,
ST_C,Specimen Type - coded fields,String ,,,,,
SNPRNT,Parent EMMES Specimen Barcode ID,Integer ,,,,,
EXTMTHOD,Nucleic acid extraction method,"Integer, encoded value ",,1 ,3 ,01=MoBio Powersoil with MoBio collection fluid,
EXTMTHOD,Nucleic acid extraction method,"Integer, encoded value ",,1 ,3 ,02=MoBio Powersoil with SCF-1 collection fluid,
EXTMTHOD,Nucleic acid extraction method,"Integer, encoded value ",,1 ,3 ,03=MoBio Biostic ,
EXTMTHOD_C,Nucleic acid extraction method - coded fields,String ,,,,,
DVDEDLVL,Highest grade of schooling finished,"Integer, encoded value ",,1 ,11 ,01=Didn't go to school,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DVDEDLVL,Highest grade of schooling finished,"Integer, encoded value ",,1 ,11 ,02=Grade School (1-4 years),
DVDEDLVL,Highest grade of schooling finished,"Integer, encoded value ",,1 ,11 ,03=Grade School (5-8 years),
DVDEDLVL,Highest grade of schooling finished,"Integer, encoded value ",,1 ,11 ,04=Some high school (9-11 years),
DVDEDLVL,Highest grade of schooling finished,"Integer, encoded value ",,1 ,11 ,05=High school diploma or G.E.D.,
DVDEDLVL,Highest grade of schooling finished,"Integer, encoded value ",,1 ,11 ,06=Vocational or training school,
DVDEDLVL,Highest grade of schooling finished,"Integer, encoded value ",,1 ,11 ,07=Some college or Associate Degree,
DVDEDLVL,Highest grade of schooling finished,"Integer, encoded value ",,1 ,11 ,08=College graduate or Baccalaureate Degree,
DVDEDLVL,Highest grade of schooling finished,"Integer, encoded value ",,1 ,11 ,09=some college or professional school,
DVDEDLVL,Highest grade of schooling finished,"Integer, encoded value ",,1 ,11 ,10=Master's Degree,
DVDEDLVL,Highest grade of schooling finished,"Integer, encoded value ",,1 ,11 ,"11=Doctoral Degree (Ph.D., M.D., J.D.) ",
DVDEDLVL_C,Highest grade of schooling finished - coded fields,String ,,,,,
DVDINSRH,Health insurance status,"Integer, encoded value ",,0 ,2 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DVDINSRH,Health insurance status,"Integer, encoded value ",,0 ,2 ,1=Yes,
DVDINSRH,Health insurance status,"Integer, encoded value ",,0 ,2 ,2=Don't know/remember ,
DVDINSRH_C,Health insurance status - coded fields,String ,,,,,
DVDINSRD,Dental insurance status,"Integer, encoded value ",,0 ,2 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DVDINSRD,Dental insurance status,"Integer, encoded value ",,0 ,2 ,1=Yes,
DVDINSRD,Dental insurance status,"Integer, encoded value ",,0 ,2 ,2=Don't know/remember ,
DVDINSRD_C,Dental insurance status - coded fields,String ,,,,,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,01=Accounting/Finance,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,02=Advertising/Public Relations,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,03=Arts/Entertainment/Publishing,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,04=Automotive,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,05=Banking/Mortgage,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,06=Biotech,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,07=Broadcast/Journalism,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,08=Business Development,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,09=Clerical/Administrative,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,10=Construction/Trades,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,11=Consultant,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,12=Customer Services,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,13=Design,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,14=Education,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,15=Engineering,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,16=Entry Level,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,17=Executive,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,18=Food Service,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,19=Government,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,20=Grocery,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,21=Healthcare,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,22=Hospitality,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,23=Human Resources,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,24=Information Technology,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,25=Insurance,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,26=Law/Legal,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,27=Management,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,28=Manufacturing,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,29=Marketing,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,30=Pharmaceutical,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,31=Professional Services,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,32=Purchasing,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,33=Quality Assurance (QA),
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,34=Research,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,35=Restaurant,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,36=Retail,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,37=Sales,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,38=Science,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,39=Security/Law Enforcement,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,40=Shipping/Distribution,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,41=Strategy,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,42=Student,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,43=Telecommunications,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,44=Training,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,45=Transportation,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,46=Warehouse,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,47=Other,
DVDOCPTN,Subject occupation,"Integer, encoded value ",,1 ,99 ,99=Unknown/Refused ,
DVDOCPTN_C,Subject occupation - coded fields,String ,,,,,
DVDOCTSP,"Other occupation, specify",String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DVDTOBC,Tobacco product use,"Integer, encoded value ",,0 ,1 ,0=No,
DVDTOBC,Tobacco product use,"Integer, encoded value ",,0 ,1 ,1=Yes ,
DVDTOBC_C,Tobacco product use - coded fields,String ,,,,,
DVDTOBSP,Specify tobacco use,"Integer, encoded value ",,1 ,3 ,1=Cigarettes,
DVDTOBSP,Specify tobacco use,"Integer, encoded value ",,1 ,3 ,2=Chew,
DVDTOBSP,Specify tobacco use,"Integer, encoded value ",,1 ,3 ,3=Both ,
DVDTOBSP_C,Specify tobacco use - coded fields,String ,,,,,
DVDCGFRQ,Frequency of cigarette,"Integer, encoded value ",,0 ,1 ,0=No,
DVDCGFRQ,Frequency of cigarette,"Integer, encoded value ",,0 ,1 ,1=Yes ,
DVDCGFRQ_C,Frequency of cigarette - coded fields,String ,,,,,
DVDCHFRQ,Frequency of chew use,"Integer, encoded value ",,1 ,3 ,1=Mild (less than 3 times a day),
DVDCHFRQ,Frequency of chew use,"Integer, encoded value ",,1 ,3 ,2=Moderate (3 - 6 times a day),
DVDCHFRQ,Frequency of chew use,"Integer, encoded value ",,1 ,3 ,3=Severe (greater than 6 times a day) ,
DVDCHFRQ_C,Frequency of chew use - coded fields,String ,,,,,
DVDTMPF,Temperature fahrenheit,Integer ,degrees F ,91.9 ,105.1 ,,
DVDTMPC,Temperature celsius,Integer ,degrees C ,33.3 ,40.6 ,,
DVDPGRES,Pregnancy results,"Integer, encoded value ",,0 ,1 ,0=Negative,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DVDPGRES,Pregnancy results,"Integer, encoded value ",,0 ,1 ,1=Positive ,
DVDPGRES_C,Pregnancy results - coded fields,String ,,,,,
DVDBLOOD,Coriell blood collected,"Integer, encoded value ",,0 ,9 ,0=No,
DVDBLOOD,Coriell blood collected,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDBLOOD,Coriell blood collected,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDBLOOD_C,Coriell blood collected - coded fields,String ,,,,,
DVDSERUM,Blood for serum collected,"Integer, encoded value ",,0 ,9 ,0=No,
DVDSERUM,Blood for serum collected,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDSERUM,Blood for serum collected,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDSERUM_C,Blood for serum collected - coded fields,String ,,,,,
DVDSTOOL,Stool collected,"Integer, encoded value ",,0 ,9 ,0=No,
DVDSTOOL,Stool collected,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDSTOOL,Stool collected,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDSTOOL_C,Stool collected - coded fields,String ,,,,,
DVDSAL,Saliva specimen collected,"Integer, encoded value ",,0 ,9 ,0=No,
DVDSAL,Saliva specimen collected,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDSAL,Saliva specimen collected,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDSAL_C,Saliva specimen collected - coded fields,String ,,,,,
DVDGING,Attchd gingivae spec coll,"Integer, encoded value ",,0 ,9 ,0=No,
DVDGING,Attchd gingivae spec coll,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDGING,Attchd gingivae spec coll,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDGING_C,Attchd gingivae spec coll - coded fields,String ,,,,,
DVDTONG,Tongue dorsum spec coll,"Integer, encoded value ",,0 ,9 ,0=No,
DVDTONG,Tongue dorsum spec coll,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDTONG,Tongue dorsum spec coll,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDTONG_C,Tongue dorsum spec coll - coded fields,String ,,,,,
DVDPTON,Palatine tonsil spec coll,"Integer, encoded value ",,0 ,9 ,0=No,
DVDPTON,Palatine tonsil spec coll,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDPTON,Palatine tonsil spec coll,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDPTON_C,Palatine tonsil spec coll - coded fields,String ,,,,,
DVDHPAL,Hard palate spec coll,"Integer, encoded value ",,0 ,9 ,0=No,
DVDHPAL,Hard palate spec coll,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDHPAL,Hard palate spec coll,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDHPAL_C,Hard palate spec coll - coded fields,String ,,,,,
DVDTHRO,Throat specimen collected,"Integer, encoded value ",,0 ,9 ,0=No,
DVDTHRO,Throat specimen collected,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDTHRO,Throat specimen collected,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDTHRO_C,Throat specimen collected - coded fields,String ,,,,,
DVDBUCC,Buccal mucosa spec coll,"Integer, encoded value ",,0 ,9 ,0=No,
DVDBUCC,Buccal mucosa spec coll,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDBUCC,Buccal mucosa spec coll,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDBUCC_C,Buccal mucosa spec coll - coded fields,String ,,,,,
DVDSUPRA,Supra plaq spec collected,"Integer, encoded value ",,0 ,9 ,0=No,
DVDSUPRA,Supra plaq spec collected,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDSUPRA,Supra plaq spec collected,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDSUPRA_C,Supra plaq spec collected - coded fields,String ,,,,,
DVDSUB,Sub plaq spec collected,"Integer, encoded value ",,0 ,9 ,0=No,
DVDSUB,Sub plaq spec collected,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDSUB,Sub plaq spec collected,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDSUB_C,Sub plaq spec collected - coded fields,String ,,,,,
DVDRACR,Retroaur right spec coll,"Integer, encoded value ",,0 ,9 ,0=No,
DVDRACR,Retroaur right spec coll,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDRACR,Retroaur right spec coll,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDRACR_C,Retroaur right spec coll - coded fields,String ,,,,,
DVDRACL,Retroaur left spec coll,"Integer, encoded value ",,0 ,9 ,0=No,
DVDRACL,Retroaur left spec coll,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDRACL,Retroaur left spec coll,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDRACL_C,Retroaur left spec coll - coded fields,String ,,,,,
DVDACRR,Antecub fos rt spec coll,"Integer, encoded value ",,0 ,9 ,0=No,
DVDACRR,Antecub fos rt spec coll,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDACRR,Antecub fos rt spec coll,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDACRR_C,Antecub fos rt spec coll - coded fields,String ,,,,,
DVDACRL,Antecub fos lft spec coll,"Integer, encoded value ",,0 ,9 ,0=No,
DVDACRL,Antecub fos lft spec coll,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDACRL,Antecub fos lft spec coll,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDACRL_C,Antecub fos lft spec coll - coded fields,String ,,,,,
DVDNASAL,Anterior nares spec coll,"Integer, encoded value ",,0 ,9 ,0=No,
DVDNASAL,Anterior nares spec coll,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDNASAL,Anterior nares spec coll,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDNASAL_C,Anterior nares spec coll - coded fields,String ,,,,,
DVDINTPH,Introitus mean pH,Integer ,pH units ,1 ,14 ,,
DVDPFPH,PFornix mean pH,Integer ,pH units ,1 ,14 ,,
DVDVIRRT,Vag or vulv irritation,"Integer, encoded value ",,0 ,1 ,0=No,
DVDVIRRT,Vag or vulv irritation,"Integer, encoded value ",,0 ,1 ,1=Yes ,
DVDVIRRT_C,Vag or vulv irritation - coded fields,String ,,,,,
DVDINTRO,Introitus spec collected,"Integer, encoded value ",,0 ,9 ,0=No,
DVDINTRO,Introitus spec collected,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDINTRO,Introitus spec collected,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDINTRO_C,Introitus spec collected - coded fields,String ,,,,,
DVDPFORN,Postr fornix spec coll,"Integer, encoded value ",,0 ,9 ,0=No,
DVDPFORN,Postr fornix spec coll,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDPFORN,Postr fornix spec coll,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDPFORN_C,Postr fornix spec coll - coded fields,String ,,,,,
DVDMIDVG,Midpoint spec collected,"Integer, encoded value ",,0 ,9 ,0=No,
DVDMIDVG,Midpoint spec collected,"Integer, encoded value ",,0 ,9 ,1=Yes,
DVDMIDVG,Midpoint spec collected,"Integer, encoded value ",,0 ,9 ,9=NA ,
DVDMIDVG_C,Midpoint spec collected - coded fields,String ,,,,,
DTPSYSTL,Blood pressure systolic,Integer ,mmHG ,70 ,220 ,,
DTPDIAST,Blood pressure diastolic,Integer ,mmHG ,40 ,130 ,,
DTPPULSE,Pulse,Integer ,BPM ,35 ,140 ,,
DTPWTLB,Weight in pounds,"Integer, decimals ",pounds ,80 ,375 ,,
DTPWTKG,Weight in kilograms,"Integer, decimals ",kilograms ,36 ,171 ,,
DTPHTIN,Height in inches,"Integer, decimals ",inches ,48 ,86 ,,
DTPHTCM,Height in centimeters,"Integer, decimals ",centimeters ,121 ,219 ,,
DTPBMI,Body mass index,Integer ,,19 ,34 ,,
DTPGENAP,General appearance,"Integer, encoded value ",,1 ,9 ,1=Normal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPGENAP,General appearance,"Integer, encoded value ",,1 ,9 ,2=Abnormal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPGENAP,General appearance,"Integer, encoded value ",,1 ,9 ,9=Not evaluated ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPGENAP_C,General appearance - coded fields,String ,,,,,
DTPGENSP,Specify abn appearance,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPHEENT,HEENT,"Integer, encoded value ",,1 ,9 ,1=Normal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPHEENT,HEENT,"Integer, encoded value ",,1 ,9 ,2=Abnormal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPHEENT,HEENT,"Integer, encoded value ",,1 ,9 ,9=Not evaluated ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPHEENT_C,HEENT - coded fields,String ,,,,,
DTPHNTSP,Specify abnormal HEENT,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPHEART,Cardiovascular,"Integer, encoded value ",,1 ,9 ,1=Normal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPHEART,Cardiovascular,"Integer, encoded value ",,1 ,9 ,2=Abnormal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPHEART,Cardiovascular,"Integer, encoded value ",,1 ,9 ,9=Not evaluated ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPHEART_C,Cardiovascular - coded fields,String ,,,,,
DTPHRTSP,Specify abn cardiovasclr,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPCHEST,Pulmonary chest,"Integer, encoded value ",,1 ,9 ,1=Normal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPCHEST,Pulmonary chest,"Integer, encoded value ",,1 ,9 ,2=Abnormal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPCHEST,Pulmonary chest,"Integer, encoded value ",,1 ,9 ,9=Not evaluated ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPCHEST_C,Pulmonary chest - coded fields,String ,,,,,
DTPCHTSP,Specify abnormal chest,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPABDMN,Abdomen,"Integer, encoded value ",,1 ,9 ,1=Normal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPABDMN,Abdomen,"Integer, encoded value ",,1 ,9 ,2=Abnormal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPABDMN,Abdomen,"Integer, encoded value ",,1 ,9 ,9=Not evaluated ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPABDMN_C,Abdomen - coded fields,String ,,,,,
